"('Paul Christiano', 2)"
"('Nythamar de Oliveira', 2)"
"('Reid McIlroy-Young', 2)"
"('Siddhartha Sen', 2)"
"('Jon Kleinberg', 2)"
"('Ashton Anderson', 2)"
"('Homanga Bharadhwaj', 2)"
"('Chaowei Xiao', 2)"
"('Anima Anandkumar', 2)"
"('Haoning Wu', 2)"
"('Weisi Lin', 2)"
"('J Gerard Wolff', 2)"
"('Tao Li', 2)"
"('John P. Dickerson', 2)"
"('Brent Mittelstadt', 2)"
"('Yao Zhao', 2)"
"('Lok Chan', 2)"
"('Kenzie Doyle', 2)"
"('Walter Sinnott-Armstrong', 2)"
"('Vincent Conitzer', 2)"
"('Jana Schaich Borg', 2)"
"('Arjun Chandrasekaran', 2)"
"('Dhruv Batra', 2)"
"('Tiago Machado', 2)"
"('Shane T. Mueller', 2)"
"('Jiebo Luo', 2)"
"('Toby Shevlane', 2)"
"('Divya Siddarth', 2)"
"('Shahar Avin', 2)"
"('Bart Selman', 2)"
"('Natalia Díaz-Rodríguez', 2)"
"('Francisco Herrera', 2)"
"('Kaibin Huang', 2)"
"('Nancy F. Chen', 2)"
"('Ai Ti Aw', 2)"
"('Jennifer Villareale', 2)"
"('Jichen Zhu', 2)"
"('Peter Eckersley', 2)"
"('Allison Woodruff', 2)"
"('Christopher Moessner', 2)"
"('Fernanda Viegas', 2)"
"('Martin Wattenberg', 2)"
"('Patrick Gage Kelley', 2)"
"('Alan Chan', 2)"
"('Roberto Gozalo-Brizuela', 2)"
"('Eduardo C. Garrido-Merchán', 2)"
"('Jun Li', 2)"
"('Wei Liu', 2)"
"('Lydia Manikonda', 2)"
"('Johannes Schneider', 2)"
"('Sebastian Risi', 2)"
"('Harsha Perera', 2)"
"('Boming Xia', 2)"
"('Yue Liu', 2)"
"('Ricardo Vinuesa', 2)"
"('Pradyumna Tambwekar', 2)"
"('Marc Erich Latoschik', 2)"
"('Carolin Wienrich', 2)"
"('Zhijie Wang', 2)"
"('Larry Chan', 2)"
"('Xiao Yang', 2)"
"('Pei-fang Wu', 2)"
"('Wei-chen Guo', 2)"
"('Liang He', 2)"
"('Andreas Theodorou', 2)"
"('Hui Wang', 2)"
"('David Krueger', 2)"
"('Zahra Zahedi', 2)"
"('James Brusseau', 2)"
"('Mingming Fan', 2)"
"('Jeba Rezwana', 2)"
"('Mary Lou Maher', 2)"
"('Jason I. Hong', 2)"
"('Qing Huang', 2)"
"('Yu Cheng', 2)"
"('Kailas Vodrahalli', 2)"
"('Tobias Gerstenberg', 2)"
"('Luís Cruz', 2)"
"('Alexandrine Royer', 2)"
"('Allison Cohen', 2)"
"('Muriam Fancy', 2)"
"('Mo Akif', 2)"
"('Rajagopal. A', 2)"
"('Nirmala. V', 2)"
"('Ross Gruetzemacher', 2)"
"('Tongshuang Wu', 2)"
"('Raymond Fok', 2)"
"('Haiyi Zhu', 2)"
"('Shuai Ma', 2)"
"('Chengbo Zheng', 2)"
"('Chuhan Shi', 2)"
"('Xiaojuan Ma', 2)"
"('Aviv Ovadya', 2)"
"('John Piorkowski', 2)"
"('Liezhong Ge', 2)"
"('Zaifeng Gao', 2)"
"('Xuli Tang', 2)"
"('Ying Ding', 2)"
"('Shreya Chappidi', 2)"
"('Kori Inkpen', 2)"
"('Miles Brundage', 2)"
"('Zihan Jiang', 2)"
"('Wanling Gao', 2)"
"('Fei Tang', 2)"
